initial_r_ratio,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs1
0.4,0.8,1.816,4.755979,0.586338816,2948.5303803066645,3060.125205060587,2343.1055979559364,1624.054161804223,121.49605317074473,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,0.9,1.814,4.755979,0.586338816,2948.2523961161664,3059.975625566089,2344.9517742772923,1631.7765647436242,122.29244927140967,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.4,1.0,1.796,4.755979,0.586338816,2946.5842973157837,3057.430830777838,2351.2841553805047,1656.4188935359027,124.54614771409057,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.0,69.436,4.755979,1.17696768,1845.8315379422856,2027.3119889303448,2081.059363044889,2071.594288106381,176.29272592603925,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.1,68.158,4.755979,1.117082112,1931.952771231789,2095.8682152222946,2158.172437262721,1944.3753781759683,153.28208001789844,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.2,64.902,4.755979,1.0304128,2064.6141964180015,2223.3289764933397,2244.487600994454,1877.7790537154074,144.35280048227,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.3,58.864,4.755979,0.936958464,2231.843920066243,2384.7978168229633,2347.707158053253,1802.4772704332695,134.85638193240655,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.4,43.48,4.755979,0.809969152,2511.9821442995903,2653.424335480122,2444.5036730282027,1732.741872500056,129.1298308497192,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.5,11.12,4.755979,0.654564864,2851.4725209168887,2957.123147690774,2366.8891189785927,1628.0174933210367,120.57815824894335,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.6,1.738,4.755979,0.563951104,3077.1160528906103,3144.8022979610732,2391.617855833929,1635.8687168146555,122.016925668627,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.7,1.67,4.755979,0.563951104,3076.624842779334,3163.9712108163158,2413.8671334826377,1655.9828507253876,123.41485636511153,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.8,1.65,4.755979,0.563951104,3076.6201881780967,3151.410337524062,2400.9920690787594,1639.4678955921484,122.5913237705002,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,0.9,1.66,4.755979,0.563951104,3076.20725415962,3155.7114382909717,2401.888873661835,1642.6619377306276,122.51346221376238,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.45,1.0,1.678,4.755979,0.563951104,3076.2416610941027,3153.1020217500536,2410.594092008377,1650.4482723884357,123.47288447608517,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.0,64.868,4.755979,1.10723328,1996.2151287052561,2174.903579586971,2263.695624088612,2161.900445424749,175.3864138319254,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.1,62.58,4.755979,1.032208896,2099.114934853455,2262.04428356127,2318.4212551870846,2006.259540058635,153.2956094115074,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.2,58.52,4.755979,0.958315008,2236.215311959649,2393.7804457750503,2370.5558346350535,1901.314255083573,142.4063240393855,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.3,46.714,4.755979,0.83366656,2541.9726716077453,2686.2692252529914,2616.7118266030006,1863.8669213707583,138.2137916821627,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.4,22.898,4.755979,0.70194432,2852.4221239662133,2956.200880576009,2492.069007453867,1710.8552197850104,124.26065234187985,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.5,1.79,4.755979,0.55066368,3193.869190305474,3265.831240143882,2487.8592563313955,1679.1934130265176,125.85226926640887,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.6,1.612,4.755979,0.546509312,3196.8491138847353,3234.563206319511,2463.90991930898,1671.1257502201686,123.70162522834772,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.7,1.644,4.755979,0.546509312,3196.898912688216,3246.592423212266,2463.1117537601167,1639.1211973197776,120.98546450868548,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.8,1.62,4.755979,0.546509312,3195.7177133950318,3231.2266095028563,2451.172643529801,1654.5854489382243,122.21544397530272,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,0.9,1.654,4.755979,0.546509312,3196.8990649805146,3245.336086330206,2468.6085416184246,1661.6347325817198,123.83202154910721,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
0.5,1.0,1.67,4.755979,0.546509312,3196.2181588462063,3243.152138209043,2463.876448547801,1661.4027209835472,122.76035660557388,391.51171875,195.755859375,97.8779296875,48.93896484375,3.89501953125
