initial_r,alpha,accuracy,params_M,flops_G,throughput_bs128,throughput_bs64,throughput_bs32,throughput_bs16,throughput_bs8,throughput_bs4,throughput_bs2,throughput_bs1,activation_mem_bs128,activation_mem_bs64,activation_mem_bs32,activation_mem_bs16,activation_mem_bs8,activation_mem_bs4,activation_mem_bs2,activation_mem_bs1
0.25,0.0,75.922,4.755979,1.489320448,1364.474762462292,1491.642349365578,1573.9108474524119,1587.997291627258,1263.1366078167928,686.6584837882007,344.6526485486791,175.3263848254768,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.1,75.624,4.755979,1.457452544,1370.9536519934895,1490.5083814586237,1557.2079528984307,1553.0266087415657,1120.7143889438075,592.6670330178089,297.6622714867806,148.57039344107483,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.2,75.304,4.755979,1.400287744,1418.414566541995,1564.320925672216,1620.0943576693926,1615.5114837825033,1060.616315276579,554.0780038785291,286.40952815572393,144.97459723815413,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.3,74.584,4.755979,1.348859392,1477.0699876263857,1626.841639666925,1665.3343435523545,1597.2246710294576,1007.0249847563157,534.4050048485075,268.4523362829055,135.80255028029342,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.4,73.694,4.755979,1.295430144,1539.9905437334887,1687.1594009731034,1716.5142206057117,1578.9207894897575,996.5559062625815,517.1101555280388,261.98530240306934,131.88909415362363,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.5,71.942,4.755979,1.201081856,1653.3851755926748,1779.086380864543,1799.2860432239204,1537.7423021989057,960.0135499959373,497.5401778464525,250.1761216027886,126.28737394232958,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.6,66.488,4.755979,1.07958016,1782.4815144427537,1907.3549260214568,1884.4777341718743,1466.3100442386958,889.0975688420386,459.5613413770096,231.6191701389537,116.8112906946025,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.7,52.244,4.755979,0.968018432,1924.3231277389666,2032.6246165215048,1951.9507738244408,1392.007357125066,826.8071098680772,425.41751337447573,214.49101401996575,108.182396641585,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.8,6.768,4.755979,0.823142912,2131.66891568797,2254.372047490221,2028.035534951099,1462.6041254024137,875.768715054462,454.8398408002432,229.63631069851354,116.11273225292646,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,0.9,3.812,4.755979,0.760017408,2254.887966526695,2377.5459498380683,2088.9059133504297,1501.1160475623171,881.5714374741804,458.1716790354405,231.12537168729844,117.19086639125176,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.25,1.0,3.052,4.755979,0.714582528,2365.2341420543285,2483.808668805544,2099.772778899664,1499.9474528959133,886.0629692872781,460.5281382995106,232.54040068896603,117.9494525646691,489.3828125,245.45703125,123.126953125,61.2666015625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.0,75.322,4.755979,1.419586048,1450.2337939194779,1595.2423083582605,1679.6432798765068,1739.0095122398698,1288.4306529963865,683.7606670405559,344.5576447766292,175.48735632857188,437.17578125,219.337890625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.1,74.958,4.755979,1.372579328,1493.6553849224656,1651.8639006515657,1714.3646004055279,1744.1262416356674,1144.3559073620454,592.8511628807651,301.64601636767713,153.27455725171814,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.2,74.474,4.755979,1.326703104,1540.8207545341672,1696.1586751833759,1736.8861067412872,1715.2747095626023,1083.3344122198703,558.4682648011575,280.0612137122829,141.63695736698892,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.3,72.936,4.755979,1.240072704,1635.1091034114493,1787.0402108162632,1798.980147833582,1667.2168832230325,1037.2583124809096,536.5877825297238,270.5030514840796,136.50848452325997,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.4,71.376,4.755979,1.176376832,1728.393339636457,1862.2554745854295,1895.984490578682,1626.7833529563914,1000.7044864111544,513.163670033738,257.8712665172589,130.2414381388537,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.5,67.232,4.755979,1.072695808,1853.0854712933674,1985.334369870356,1971.4844086463113,1577.4836361803723,946.4373132831334,486.0333479998002,244.15063246671184,123.92384052151787,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.6,58.37,4.755979,0.963574272,2009.795244787681,2118.847207628787,2075.3152732801373,1497.225590224975,880.5654357139348,451.6173248049096,226.6734941207784,114.74101214043719,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.7,8.808,4.755979,0.811535872,2255.3209722893284,2371.7013320486135,2083.335514182645,1469.4537200734148,853.4928249429748,439.34875928585967,221.28946906775246,111.85001557359912,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.8,3.358,4.755979,0.709374464,2444.3423371229474,2556.6914884428998,2162.1013906435965,1540.7798594920903,899.3177987479505,465.41761656651215,234.44064693774177,118.9461196116478,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,0.9,2.97,4.755979,0.679970304,2512.6669425118207,2612.275606553727,2181.2676802360215,1547.8677973512215,900.474169197546,465.8911891910415,235.91448230508078,120.19831915665296,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.3,1.0,2.66,4.755979,0.66280704,2554.0247216728135,2653.1321821051247,2178.9910921881765,1543.6601212774756,893.6742188454647,458.62218842276127,232.62522555080318,116.94964999345028,437.17578125,218.931640625,110.2314453125,54.64697265625,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.0,74.366,4.755979,1.339963904,1578.591722742004,1753.229421751584,1846.8226874353113,1902.4210170082322,1290.9789152315545,672.7935796661035,338.27210566744964,172.1725176587187,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.1,73.684,4.755979,1.290593792,1619.9657703718187,1789.1168454107565,1828.8289584584186,1824.2016149037865,1141.4873251599122,587.9295760758881,294.9003514361183,148.63964536598283,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.2,72.57,4.755979,1.221426688,1701.1468169561908,1859.8466147918368,1891.3030489752914,1767.3465724431057,1085.2201541617628,558.0269920337574,279.63705421115446,141.04022031616142,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.3,70.76,4.755979,1.147571712,1808.7925896197644,1948.2601170729351,1982.8856139582854,1717.097829869902,1045.898206432662,535.9344073541636,268.80679646090294,135.81287960656107,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.4,67.516,4.755979,1.061959168,1931.4713530693846,2058.7336496860753,2072.762259904449,1652.739614359154,977.8306264359171,500.733062930415,250.57732708990554,127.28916877123172,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.5,57.038,4.755979,0.926720512,2144.703151888141,2281.651626867928,2184.6343868966073,1566.8602810468662,913.9564921562657,468.09378049008455,233.79912881855378,118.19928521950953,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.6,32.08,4.755979,0.796289536,2362.229593876896,2488.850015376169,2125.79832823452,1489.0658204860495,853.0763361033762,435.6797290131385,218.66603160449193,110.29560920127943,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.7,3.084,4.755979,0.66775296,2621.6993024466324,2744.6043339062567,2228.566158900752,1575.7461628369979,907.5958470437489,468.2858163001224,234.98008220345366,119.1156815703455,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.8,2.482,4.755979,0.63519488,2698.094118642244,2804.4512589320007,2237.8698879555513,1573.3883316615263,900.616960572574,464.3111832877801,233.8682342248658,118.45735753838034,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,0.9,1.936,4.755979,0.614550016,2787.072796824436,2900.7703618637206,2281.341914079966,1601.8094475656903,923.1905145858317,476.02001658685816,239.81045255367613,121.51660270462331,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.35,1.0,1.812,4.755979,0.606397952,2810.101781339896,2934.773885204361,2301.927752203419,1623.6559670499926,932.0011763606615,482.10798102719605,243.1528223567511,122.89215240171113,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.0,72.362,4.755979,1.253349888,1716.8561337699932,1883.1859432199306,1944.3848425464912,1985.5688625341165,1324.9385051100135,690.0396970280636,345.8579992171345,174.42265876384968,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
0.4,0.1,71.708,4.755979,1.203979776,1771.3956595716377,1924.120420381124,1963.2614927195143,1882.6329208751702,1156.5507065505274,594.2208489672761,295.25838075468806,149.77127078175724,391.51171875,195.755859375,97.8779296875,48.93896484375,30.6650390625,15.36767578125,7.71923828125,3.89501953125
